depot_id,symbol,name,executed_at,reason
short_term,SRPT,"Sarepta Therapeutics, Inc.",2026-09-03 00:46:36,"🚨 Smart-Money Ausbruch (Alpha 72/100) | PCR: 0.12 | Social: Stabile Marktpräsenz | ⚖️ Tribunal (BUY): Die Kombination aus einem starken Smart-Money Ausbruch (Alpha 72/100) und einem extrem bullischen Put/Call Ratio (0.12) signalisiert ein signifikantes positives Momentum und institutionelles Interesse. Für ein 'short_term'-Depot überwiegen diese starken Momentum-Signale das potenzielle Risiko einer Überhitzung, zumal keine offensichtlichen Red Flags vorliegen."
short_term,NVAX,"Novavax, Inc.",2026-09-02 12:33:13,"🚨 Smart-Money Ausbruch (Alpha 79/100) | PCR: 0.12 | Social: Stabile Marktpräsenz | ⚖️ Tribunal (BUY): Die Kombination aus einem starken 'Smart-Money Ausbruch' und dem extrem bullischen PCR ist ein klares Momentum-Signal. Obwohl das PCR potenziell extrem ist, überwiegen die positiven Indikatoren für einen 'short_term' Trade, da die Wahrscheinlichkeit eines kurzfristigen Anstiegs hoch ist."
short_term,SOL-USD,Solana,2026-09-02 12:33:05,🚨 Stop-Loss ausgelöst (-0.5%) zur Verlustbegrenzung
short_term,RIVN,Rivian Automotive,2026-09-02 12:33:03,🚨 Stop-Loss ausgelöst (-9.4%) zur Verlustbegrenzung
short_term,GFT.DE,GFT Technologies SE           I,2026-08-27 17:17:15,🚨 Smart-Money Ausbruch (Alpha 71/100) | PCR: 0.62 | Social: Stabile Marktpräsenz
short_term,MRNA,"Moderna, Inc.",2026-08-26 22:14:06,🎯 Trailing Stop-Loss gegriffen (+2.8% Gewinn gesichert)
short_term,BEAM,Beam Therapeutics,2026-08-25 12:30,Top Momentum & Breakout Score (88/100)
short_term,KO256319,⚡ Turbo Bull 3.5x auf Visa Inc.,2026-08-25 12:28,💡 Opportunitäts-Umschichtung: Gewinn bei +8.4% mitgenommen für neuen Ausbruch BEAM
short_term,KO256319,⚡ Turbo Bull 3.5x auf Visa Inc.,2026-08-25 06:40,🚨 Akuter Ausbruchs-Alarm (Score: 100/100) via 3.5x Hebel
short_term,MRNA,"Moderna, Inc.",2026-08-24 22:07,Akuter Biotech-Ausbruch & hoher Short Float (15.2%)
short_term,RIVN,Rivian Automotive,2026-08-24 22:07,Top Kurzfrist-Momentum (95/100) & CEO-Insiderkauf
short_term,SOL-USD,Solana,2026-08-24 22:07,High-Beta Krypto-Momentum mit bullischem MACD-Setup
medium_term,PLTR,Palantir Technologies,2026-08-24 22:07,Säkularer Enterprise-AI Megatrend & 42% Rule-of-40 Free Cashflow
medium_term,DUOL,"Duolingo, Inc.",2026-08-24 22:07,KI-getriebene EdTech-Monetarisierung & über 40% Umsatzwachstum
medium_term,NVDA,NVIDIA Corporation,2026-08-24 22:07,KI-Infrastruktur Monopol & unübertroffener Hardware-Moat
